flight_number,scheduled_elapsed_time_(minutes),actual_elapsed_time_(minutes),departure_delay_(minutes),taxi-out_time_(minutes),DepDel15,dest_airport_label,month,day,act_dep_time_hr,act_dep_time_min,sch_dep_time_hr,sch_dep_time_min,wo_time_hr,wo_time_min
242,156,145,117,15,1,14,1,1,20,20,18,23,20,35
401,128,104,-1,12,0,45,1,1,15,21,15,22,15,33
426,81,76,-4,16,0,8,1,1,10,52,10,56,11,8
440,262,270,-6,16,0,100,1,1,17,34,17,40,17,50
448,146,141,31,19,1,14,1,1,22,17,21,46,22,36
466,77,71,15,21,1,8,1,1,12,35,12,20,12,56
476,260,242,11,10,0,100,1,1,11,36,11,25,11,46
618,150,145,0,15,0,14,1,1,14,19,14,19,14,34
649,154,143,-1,13,0,14,1,1,19,44,19,45,19,57
799,79,68,60,15,1,8,1,1,9,51,8,51,10,6
841,136,123,-3,18,0,101,1,1,6,56,6,59,7,14
1151,116,113,4,23,0,34,1,1,6,5,6,1,6,28
1177,120,108,-2,14,0,34,1,1,6,43,6,45,6,57
1284,74,61,26,16,1,8,1,1,22,40,22,14,22,56
1377,155,152,-1,19,0,14,1,1,5,59,6,0,6,18
1409,316,281,50,14,1,29,1,1,18,49,17,59,19,3
1567,154,156,-6,20,0,14,1,1,7,49,7,55,8,9
1574,143,126,-4,17,0,43,1,1,7,13,7,17,7,30
1618,124,114,13,18,0,34,1,1,20,24,20,11,20,42
1630,151,141,7,16,0,14,1,1,16,26,16,19,16,42
1652,82,65,-1,14,0,8,1,1,15,32,15,33,15,46
1662,140,124,-1,15,0,101,1,1,19,18,19,19,19,33
1691,147,140,-3,17,0,43,1,1,17,34,17,37,17,51
1718,79,70,-5,15,0,8,1,1,6,54,6,59,7,9
1742,258,241,-8,11,0,100,1,1,20,54,21,2,21,5
1835,78,69,-6,15,0,8,1,1,20,1,20,7,20,16
1859,126,119,-2,17,0,45,1,1,9,41,9,43,9,58
1907,121,107,-6,13,0,45,1,1,7,22,7,28,7,35
1991,130,116,-6,12,0,45,1,1,17,57,18,3,18,9
