carrier_code,flight_number,tail_number,destination_airport,scheduled_elapsed_time_(minutes),actual_elapsed_time_(minutes),departure_delay_(minutes),taxi-out_time_(minutes),date_mm/dd/yyyy,actual_departure_time,scheduled_departure_time,wheels-off_time,DepDel15
AA,242,N9624T,DFW,156,145,117,15,2019-01-01,2019-01-01 20:20:00,2019-01-01 18:23:00,2019-01-01 20:35:00,1
AA,448,N746UW,DFW,146,141,31,19,2019-01-01,2019-01-01 22:17:00,2019-01-01 21:46:00,2019-01-01 22:36:00,1
AA,466,N753US,CLT,77,71,15,21,2019-01-01,2019-01-01 12:35:00,2019-01-01 12:20:00,2019-01-01 12:56:00,1
AA,799,N751UW,CLT,79,68,60,15,2019-01-01,2019-01-01 09:51:00,2019-01-01 08:51:00,2019-01-01 10:06:00,1
AA,1284,N976NN,CLT,74,61,26,16,2019-01-01,2019-01-01 22:40:00,2019-01-01 22:14:00,2019-01-01 22:56:00,1
AA,1409,N955AN,LAX,316,281,50,14,2019-01-01,2019-01-01 18:49:00,2019-01-01 17:59:00,2019-01-01 19:03:00,1
AA,2477,N981NN,MIA,116,114,17,13,2019-01-01,2019-01-01 12:06:00,2019-01-01 11:49:00,2019-01-01 12:19:00,1
AA,401,N740UW,PHL,128,117,32,20,2019-02-01,2019-02-01 15:54:00,2019-02-01 15:22:00,2019-02-01 16:14:00,1
AA,466,N768US,CLT,77,59,20,10,2019-02-01,2019-02-01 12:40:00,2019-02-01 12:20:00,2019-02-01 12:50:00,1
AA,618,N758US,DFW,150,143,68,20,2019-02-01,2019-02-01 15:27:00,2019-02-01 14:19:00,2019-02-01 15:47:00,1
AA,1350,N932NN,DFW,148,165,34,16,2019-02-01,2019-02-01 13:21:00,2019-02-01 12:47:00,2019-02-01 13:37:00,1
AA,1567,N899NN,DFW,154,151,31,24,2019-02-01,2019-02-01 08:26:00,2019-02-01 07:55:00,2019-02-01 08:50:00,1
AA,1618,N9022G,MIA,124,100,15,9,2019-02-01,2019-02-01 20:26:00,2019-02-01 20:11:00,2019-02-01 20:35:00,1
AA,2619,N939NN,DFW,156,156,70,19,2019-02-01,2019-02-01 10:39:00,2019-02-01 09:29:00,2019-02-01 10:58:00,1
AA,242,N971TW,DFW,156,151,53,25,2019-03-01,2019-03-01 19:16:00,2019-03-01 18:23:00,2019-03-01 19:41:00,1
AA,618,N804AW,DFW,150,142,35,14,2019-03-01,2019-03-01 14:54:00,2019-03-01 14:19:00,2019-03-01 15:08:00,1
AA,649,N661AW,DFW,154,165,120,21,2019-03-01,2019-03-01 21:45:00,2019-03-01 19:45:00,2019-03-01 22:06:00,1
AA,799,N763US,CLT,79,71,29,16,2019-03-01,2019-03-01 09:20:00,2019-03-01 08:51:00,2019-03-01 09:36:00,1
AA,1377,N807NN,DFW,155,163,147,33,2019-03-01,2019-03-01 08:27:00,2019-03-01 06:00:00,2019-03-01 09:00:00,1
AA,1567,N346PR,DFW,154,173,24,29,2019-03-01,2019-03-01 08:19:00,2019-03-01 07:55:00,2019-03-01 08:48:00,1
AA,2328,N991NN,LAX,322,293,27,15,2019-03-01,2019-03-01 07:02:00,2019-03-01 06:35:00,2019-03-01 07:17:00,1
AA,2344,N988NN,MIA,121,125,22,19,2019-03-01,2019-03-01 07:50:00,2019-03-01 07:28:00,2019-03-01 08:09:00,1
AA,2737,N930NN,LAX,308,294,23,34,2019-03-01,2019-03-01 11:25:00,2019-03-01 11:02:00,2019-03-01 11:59:00,1
AA,426,N749US,CLT,81,83,235,25,2019-04-01,2019-04-01 14:51:00,2019-04-01 10:56:00,2019-04-01 15:16:00,1
AA,618,N4005X,DFW,150,142,61,18,2019-04-01,2019-04-01 15:20:00,2019-04-01 14:19:00,2019-04-01 15:38:00,1
AA,1350,N877NN,DFW,148,134,25,14,2019-04-01,2019-04-01 13:12:00,2019-04-01 12:47:00,2019-04-01 13:26:00,1
AA,1409,N820NN,LAX,316,297,16,14,2019-04-01,2019-04-01 18:15:00,2019-04-01 17:59:00,2019-04-01 18:29:00,1
AA,1662,N954UW,LGA,140,115,21,13,2019-04-01,2019-04-01 19:40:00,2019-04-01 19:19:00,2019-04-01 19:53:00,1
AA,2039,N956UW,PHL,121,114,15,17,2019-04-01,2019-04-01 13:50:00,2019-04-01 13:35:00,2019-04-01 14:07:00,1
AA,2091,N905AU,MIA,126,129,24,22,2019-04-01,2019-04-01 18:33:00,2019-04-01 18:09:00,2019-04-01 18:55:00,1
AA,1947,N740UW,CLT,83,84,73,30,2019-06-01,2019-06-01 16:46:00,2019-06-01 15:33:00,2019-06-01 17:16:00,1
AA,2619,N812NN,DFW,153,145,23,20,2019-06-01,2019-06-01 09:40:00,2019-06-01 09:17:00,2019-06-01 10:00:00,1
AA,649,N668AW,DFW,152,144,23,13,2019-07-01,2019-07-01 20:16:00,2019-07-01 19:53:00,2019-07-01 20:29:00,1
AA,1177,N808NN,MIA,120,106,71,12,2019-07-01,2019-07-01 07:56:00,2019-07-01 06:45:00,2019-07-01 08:08:00,1
AA,426,N829AW,CLT,82,99,265,34,2019-09-01,2019-09-01 15:24:00,2019-09-01 10:59:00,2019-09-01 15:58:00,1
AA,1662,N952UW,LGA,137,142,116,22,2019-10-01,2019-10-01 21:09:00,2019-10-01 19:13:00,2019-10-01 21:31:00,1
AA,1691,N814AW,ORD,141,117,49,16,2019-10-01,2019-10-01 18:57:00,2019-10-01 18:08:00,2019-10-01 19:13:00,1
AA,2091,N755US,MIA,124,108,47,19,2019-10-01,2019-10-01 18:58:00,2019-10-01 18:11:00,2019-10-01 19:17:00,1
AA,2562,N913AN,ORD,141,140,25,33,2019-10-01,2019-10-01 11:20:00,2019-10-01 10:55:00,2019-10-01 11:53:00,1
AA,426,N758US,CLT,82,63,84,17,2019-11-01,2019-11-01 12:23:00,2019-11-01 10:59:00,2019-11-01 12:40:00,1
AA,1309,N826NN,DFW,151,144,43,18,2019-01-13,2019-01-13 15:01:00,2019-01-13 14:18:00,2019-01-13 15:19:00,1
AA,1947,N710UW,CLT,83,82,23,28,2019-01-13,2019-01-13 15:56:00,2019-01-13 15:33:00,2019-01-13 16:24:00,1
AA,1618,N8009T,MIA,119,103,45,13,2019-01-14,2019-01-14 21:01:00,2019-01-14 20:16:00,2019-01-14 21:14:00,1
AA,2778,N936AN,DFW,149,140,15,15,2019-01-14,2019-01-14 13:01:00,2019-01-14 12:46:00,2019-01-14 13:16:00,1
AA,1828,N110UW,PHL,118,103,24,10,2019-01-15,2019-01-15 05:45:00,2019-01-15 05:21:00,2019-01-15 05:55:00,1
AA,1991,N963UW,PHL,131,115,17,13,2019-01-15,2019-01-15 18:20:00,2019-01-15 18:03:00,2019-01-15 18:33:00,1
AA,1991,N963UW,PHL,131,120,19,27,2019-01-17,2019-01-17 18:22:00,2019-01-17 18:03:00,2019-01-17 18:49:00,1
